BLOWER,MOTOR,INLET,DISCHARGE,DRAWING,PACKAGE,SHIPPING,ENCLOSURE,SHIPPING
MODEL,HP,SIZE,SIZE,#,PRICE  $,WEIGHT  #,PRICE  $,WEIGHT  #
,2,"2""","1-½""",1AT215,"6,012",440,"2,795",255
,2,"2""","2""",1AT22,"6,063",447,"2,795",255
2MP,3,"2""","1-½""",1AT215,"6,193",467,"2,795",255
,3,"2""","2""",1AT22,"6,244",474,"2,795",255
,5,"2""","1-½""",2AT215,"6,308",500,"2,890",261
,5,"2""","2""",2AT22,"6,358",507,"2,890",261
,2,"2""","1-½""",1AT215,"6,072",443,"2,795",255
,2,"2""","2""",1AT22,"6,122",450,"2,795",255
2LP,3,"2""","1-½""",1AT215,"6,253",470,"2,795",255
,3,"2""","2""",1AT22,"6,303",477,"2,795",255
,5,"2""","1-½""",2AT215,"6,367",503,"2,890",261
,5,"2""","2""",2AT22,"6,418",510,"2,890",261
,7½,"2""","1-½""",4AT215,"6,678",645,"3,696",310
3HR,7/1/02,"2""","2""",4AT22,"6,729",652,"3,696",310
,10,"2""","2""",4AT215,"6,854",672,"3,696",310
,5,"2""","1-½""",2AT215,"6,762",592,"2,900",261
,5,"2""","2""",2AT22,"6,813",599,"2,900",261
,5,"2-½""","2""",2AT252,"7,014",621,"2,900",261
3MR,7½,"2-½""","2""",2AT252,"7,244",682,"2,900",261
,7/1/02,"2-1/2""","2-½""",2AT2525,"7,467",698,"2,900",261
,10,"2-½""","2""",2AT252,"7,369",702,"2,900",261
,10,"2-1/2""","2-½""",2AT2525,"7,592",718,"2,900",261
,5,"2""","2""",2AT22,"6,704",634,"2,900",261
,5,"2-½""","2-½""",2AT2525,"7,128",672,"2,900",261
,7½,"2-½""","2-½""",2AT2525,"7,358",733,"2,900",261
3LR,7/1/02,"3""","2-½""",4AT325,"7,516",747,"4,164",340
,7/1/02,"3""","3""",4AT33,"7,651",764,"4,164",340
,10,"3""","2-½""",4AT325,"7,641",767,"4,164",340
,10,"3""","3""",4AT33,"7,776",784,"4,164",340
,10,"2""","2""",2AT22,"7,294",709,"2,864",261
4HR,10,"2-½""","2""",4AT252,"7,495",731,"3,948",329
,10,"2-1/2""","2-½""",4AT2525,"7,718",747,"3,948",329
,5,"2-½""","2""",2AT252,"7,434",669,"2,864",261
,5,"2-1/2""","2-½""",2AT2525,"7,657",685,"2,864",261
,7½,"2-½""","2""",4AT252,"7,664",730,"3,948",329
,"7-1/2""","2-1/2""","2-½""",4AT2525,"7,888",746,"3,948",329
4MP,"7-1/2""","3""","2-½""",4AT325,"8,045",760,"3,948",329
,"7-1/2""","3""","3""",4AT33,"8,180",777,"3,948",329
,10,"2-½""","2-½""",4AT2525,"8,012",766,"3,948",329
,10,"3""","2-½""",4T325,"8,170",780,"3,948",329
,10,"3""","3""",4AT33,"8,305",797,"3,948",329
,7½,"2-½""","2-½""",2AT2525,"7,877",789,"2,864",261
4LR,7/1/02,"3""","2-½""",4AT325,"8,035",803,"3,948",329
,10,"3""","3""",4AT33,"8,295",840,"3,948",329
,10,"4""","3""",4AT43,"8,643",873,"3,948",329
,15,"2-½""","2-½""",4AT2525,"9,165",1085,"3,549",308
,20,"3""","2-½""",4AT325,"9,615",1124,"3,871",329
5HR,20,"3""","3""",4AT33,"9,749",1141,"3,871",329
,25,"3""","2-½""",4AT325,"10,110",1178,"3,871",329
,25,"3""","3""",4AT33,"10,244",1195,"3,871",329
,10,"3""","3""",4AT33,"9,370",1036,"3,871",329
,10,"4""","3""",4AT43,"9,718",1069,"3,871",329
,10,"4""","4""",4AT44,"10,151",1126,"3,871",329
,15,"4""","3""",4AT43,"10,013",1181,"3,871",329
,15,"4""","4""",4AT44,"10,445",1238,"3,871",329
5MR,15,"5""","4""",4AT54,"11,143",1306,"5,739",449
,20,"4""","3""",4AT43,"10,305",1206,"3,871",329
,20,"4""","4""",4AT44,"10,738",1263,"3,871",329
,20,"5""","4""",4AT54,"11,436",1331,"5,739",449
,25,"4""","4""",4AT44,"11,233",1317,"3,871",329
,25,"5""","4""",4AT54,"11,931",1385,"5,739",449
,25,"5""","5""",4AT55,"12,728",1458,"6,609",505
,10,"4""","3""",4AT43,"10,003",1102,"3,871",329
,10,"4""","4""",4AT44,"10,436",1159,"3,871",329
5LR,15,"4""","4""",4AT44,"10,730",1271,"3,871",329
,15,"5""","4""",4AT54,"11,429",1339,"5,739",449
,20,"5""","4""",4AT54,"11,721",1364,"5,739",449
,20,"5""","5""",4AT55,"12,518",1437,"6,609",505
,20,"3""","3""",4AT33,"12,571",1648,"3,404",329
,20,"4""","3""",4AT43,"12,920",1681,"3,404",329
,25,"3""","3""",4AT33,"13,066",1702,"3,404",329
6HR,25,"4""","3""",4AT43,"13,415",1735,"3,404",329
,30,"4""","3""",4AT43,"13,590",1795,"3,404",329
,30,"4""","4""",4AT44,"14,022",1852,"3,404",329
,40,"4""","3""",10AT43,"14,204",1954,"4,661",421
,40,"4""","4""",10AT44,"14,637",2011,"4,994",446
,25,"4""","4""",10AT44,"14,966",1829,"4,994",446
,25,"5""","4""",10AT54,"15,664",1897,"5,494",482
6MR,30,"4""","4""",10AT44,"15,141",1889,"4,994",446
,30,"5""","4""",10AT54,"15,839",1957,"5,494",482
,40,"5""","4""",10AT54,"16,453",2116,"5,494",482
,40,"5""","5""",10AT55,"17,250",2189,"6,326",543
,25,"5""","5""",10AF55,"17,300",2181,"6,326",543
,25,"6""","5""",10AF65,"17,624",2250,"7,054",596
6LR,30,"6""","5""",10AF65,"17,799",2310,"7,054",596
,30,"6""","6""",10AF66,"18,103",2376,"7,406",622
,40,"6""","6""",10AF66,"18,717",2535,"7,406",622
,40,"8""","6""",10AF86,"19,984",2674,"8,566",707
,40,"4""","4""",10AT44,"17,331",2140,"4,657",446
7HP,40,"5""","4""",10AT54,"18,029",2208,"5,123",482
,50,"5""","4""",10AT54,"18,389",2278,"5,123",482
,50,"5""","5""",10AT55,"19,186",2351,"5,899",543
,25,"5""","5""",10AF55,"19,547",2323,"5,899",543
,25,"6""","5""",10AF65,"19,870",2392,"6,577",596
,30,"6""","5""",10AF65,"20,046",2452,"6,577",596
7MP,30,"6""","6""",10AF66,"20,350",2518,"6,906",622
,40,"6""","6""",10AF66,"20,964",2677,"6,906",622
,40,"8""","6""",10AF86,"22,231",2816,"7,987",707
,50,"6""","5""",10AF65,"21,020",2681,"6,577",596
,50,"6""","6""",10AF66,"21,324",2747,"6,906",622
,30,"6""","5""",10AF65,"21,303",2870,"6,577",596
,30,"6""","6""",10AF66,"21,607",2936,"6,906",622
,40,"8""","6""",10AF86,"23,488",3234,"7,987",707
7LP,40,"8""","8""",11AF88,"24,963",3394,"8,508",748
,50,"8""","8""",11AF88,"25,323",3464,"8,508",748
,50,"10""","8""",13AF108,"27,561",3716,"11,994",1022
,60,"10""","8""",13AF108,"29,237",3797,"11,994",1022
,40,"5""","4""",10AT54,"21,067",2805,"5,035",482
,40,"5""","5""",10AT55,"21,864",2878,"5,798",543
8HP,50,"5""","4""",10AT54,"21,427",2875,"5,035",482
,50,"5""","5""",10AT55,"22,224",2948,"5,798",543
,60,"5""","4""",10AT54,"23,103",2956,"5,035",482
,60,"5""","5""",10AT55,"23,900",3029,"5,798",543
,40,"6""","5""",13AF65,"24,628",3240,"7,008",640
,40,"6""","6""",13AF66,"24,932",3306,"7,358",668
,50,"6""","5""",13AF65,"24,988",3310,"7,008",640
8MP,50,"6""","6""",13AF66,"25,291",3376,"7,358",668
,60,"6""","6""",13AF66,"26,968",3457,"7,358",668
,60,"8""","6""",13AF86,"28,235",3596,"8,475",757
,75,"8""","6""",13AF86,"28,853",3770,"8,475",757
,75,"8""","8""",13AF88,"30,327",3930,"9,028",801
,50,"10""","8""",13AF108,"32,727",4191,"11,790",1022
,50,"10""","10""",13AF1010,"34,561",4490,"12,410",1071
8LP,60,"10""","8""",13AF108,"34,403",4272,"11,790",1022
,60,"10""","10""",13AF1010,"36,238",4571,"12,410",1071
,75,"10""","8""",13AF108,"35,021",2440,"11,790",1022
,75,,"10""",13AF1010,"36,855",2440,"12,410",1071
,10,"2""","2""",2AT22,"11,072",773,"2,881",261
406 HF,10,"2-½""","2""",2AT252,"11,496",795,"2,881",261
,10,"2-1/2""","2-½""",4AT2525,"11,496",811,"3,557",303
,15,"3""","2-½""",4AT325,"11,949",937,"3,557",303
,15,"3""","3""",4AT33,"12,084",954,"3,557",303
,20,"4""","3""",4AT43,"12,724",1012,"3,557",303
,20,"4""","4""",4AT44,"13,157",1069,"3,557",303
,25,"4""","3""",4AT43,"13,219",1066,"3,557",303
,25,"4""","4""",4AT44,"13,652",1123,"3,557",303
,20,"3""","3""",4AT33,"12,673",1009,"3,557",303
,20,"4""","3""",4AT43,"13,022",1042,"3,557",303
408 HF,25,"3""","3""",4AT33,"13,168",1063,"3,557",303
,25,"4""","3""",4AT43,"13,517",1096,"3,557",303
,25,"4""","4""",4AT44,"13,949",1153,"3,557",303
,30,"4""","3""",4AT43,"13,692",1156,"3,557",303
,30,"4""","4""",4AT44,"14,125",1213,"3,557",303
,40,"5""","4""",10AF65,"23,033",2070,"6,597",596
412 HF,40,"5""","5""",10AF66,"23,033",2070,"6,927",622
,50,"5""","4""",10AF65,"23,393",2140,"6,597",596
,50,"5""","5""",10AF66,"24,190",2213,"6,927",622
,60,"6""","6""",10AF66,"30,191",2813,"6,868",622
514 HF,60,"8""","6""",10AF86,"31,458",2952,"7,943",707
,75,"8""","6""",10AF86,"32,076",3126,"7,943",707
,75,"8""","8""",10AF88,"33,551",3286,"8,910",783
,75,"8""","6""",13AF86,"45,603",3708,"8,158",757
,75,"8""","8""",13AF88,"47,077",3868,"9,117",836
616 HF,100,"8""","6""",13AF86,"47,178",4138,"8,158",757
,100,"8""","8""",13AF88,"48,653",4298,"9,117",836
,125,"8""","8""",13AF88,"51,834",4528,"9,117",836
,150,"8""","8""",13AF88,"52,329",4677,"9,117",836
,75,"8""","6""",13AF86,"50,418",4183,"8,158",757
,75,"8""","8""",13AF88,"51,893",4343,"9,117",836
624 HF,100,"8""","8""",13AF88,"53,468",4773,"9,117",836
,100,"10""","8""",13AF108,"55,706",5025,"11,349",1022
,125,"10""","8""",13AF108,"58,887",5255,"11,349",1022
,150,"10""","10""",13AF1010,"61,217",5703,"11,947",1071
,150,"10""","8""",,"70,601",6512,"12,603",1127
817 HF,150,"10""","10""",,"72,436",6811,"13,038",1163
,200,"10""","10""",,"75,294",7271,"13,038",1163
,200,"12""","10""",,"77,213",7513,"14,280",1267
,150,"10""","10""",,"68,086",5207,"11,349",1022
,150,"12""","10""",,"68,287",5229,"11,349",1022
,150,"10""","10""",,"70,944",5366,"11,947",1071
825 HF,200,"12""","10""",,"71,145",5388,"12,603",1127
,200,"12""","12""",,"71,368",5404,"13,038",1163
,250,"12""","10""",,"73,584",5458,"13,038",1163
,200,"12""","12""",,"73,807",5474,"14,280",1267
125CDL375,75,"6""","6""",,"51,348",3562,"9,596",876
,,"8""","6""",,"52,615",3701,"9,596",876
160CDL480,100,"8""","6""",,"74,833",4681,"10,237",929
,,"8""","8""",,"76,308",6855,"10,237",929
,125,"8""","6""",,"78,014",4911,"10,237",929
,,"8""","8""",,"79,489",5071,"10,237",929
200CDL600,125,"10""","10""",,"107,068",7355,"14,280",1267
,,"12""","10""",,"108,988",7597,"13,298",1185
,150,"10""","10""",,"107,563",7504,"14,280",1267
,,"12""","10""",,"109,483",7746,"12,516",1120
250CDL750,150,"12""","10""",,"149,471",9766,"14,280",1267
,,"12""","12""",,"151,977",10090,"14,741",1305
,200,"12""","12""",,"154,835",10550,"14,280",1267
,,"14""","12""",,"159,269",10805,"14,741",1305